Term [en-US],Description [en-US],Part of Speech [en-US],Term [zh-CN],Description [zh-CN],Part of Speech [zh-CN],Term [zh-TW],Description [zh-TW],Part of Speech [zh-TW]
Pipestone,.,,派普斯通,,,派普斯通,,
Worthington,.,,沃辛顿,,,沃辛頓,,
rectangle,,NOUN,矩形,,,矩形,,
partial sum,,,部分的总和,,,部分的總和,,
tens,,NOUN,十,,,十,,
Multiply,,,乘以,,,乘以,,
amper,units,,amper,,,amper,,
blueberries,.,,蓝莓,,,藍莓,,
benchmark,A standard or point of reference against which things may be compared or assessed.,,基准,,,基準,,
word problem,,,应用题,,,應用題,,
Fill in the blanks,,,填空,,,填空,,
is equivalent to,,,等于,,,等於,,
tutorials,,,课程,,,課程,,
alternate interior,.,,备用内政,,,備用內政,,
coach reports,,,教练的报告,,,教練的報告,,
Getting Started,"Badge ""Getting Started""",,正在开始,,,正在開始,,
equivalent,,,相等,,,相等,,
Undefined,not defined,,未定义,,,未定義,,
alfalfa,,,苜蓿,,,苜蓿,,
#NAME?,.,,#NAME?,,,#NAME?,,
DOK,Depth of Knowledge,,牍,,,牘,,
flipped classrooms,.,,翻转的教室,,,翻轉的教室,,
dashboard,,NOUN,仪表板,,,儀表板,,
cleft,(axon) cleft (in Biology),,裂口,,,裂口,,
Whitney Museum of American Art,.,,惠特尼美国艺术博物馆,,,惠特尼美國藝術博物館,,
Dallas Museum of Art,.,,达拉斯艺术博物馆,,,達拉斯藝術博物館,,
The Phillips Collection,.,,菲力浦斯集合,,,菲力浦斯集合,,
Midline,The midline is a horizontal axis that is used as the reference line about which the graph of a periodic function oscillates.,,中线,,,中線,,
Musée du Louvre,Museum,,卢浮宫,,,盧浮宮,,
2001: A Space Odyssey,2001: Odisea del espacio,,2001：《太空奥德赛 》,,,2001： 《太空奧德賽 》,,
Art Institute of Chicago,,,芝加哥艺术学院,,,芝加哥藝術學院,,
Albright-Knox Art Gallery,,,奥尔布赖特诺克斯艺术画廊,,,奧爾布賴特諾克斯藝術畫廊,,
Allen Memorial Art Museum,.,,艾伦纪念艺术博物馆,,,艾倫紀念藝術博物館,,
Lemon Bar,,,柠檬栏,,,檸檬欄,,
The Museum of Modern Art,New York,,现代艺术博物馆 (MoMA),,,現代藝術博物館 (MoMA),,
Readymades,used in Dadaism,,赛尔,,,賽爾,,
\n\nAn inequality that models the problem is,.,,\n\n模型问题的一个不等式是,,,模型問題的 \n\nAn 不平等,,
Philadelphia Museum of Art,.,,费城艺术博物馆,,,費城藝術博物館,,
Asian Art Museum,,,旧金山亚洲艺术博物馆,,,舊金山亞洲藝術博物館,,
long division,.,,长除法,,,長除法,,
MoMA Learning,,,MoMA 学习,,,MoMA 學習,,
Museo Nelson-Atkins,se traduce como:,,博物馆纳尔逊 · 阿特金斯,,,博物館納爾遜 · 阿特金斯,,
"National Gallery of Art, Washington",se traduce,,美国华盛顿国家美术馆,,,美國華盛頓國家美術館,,
"Museum of Fine Arts, Boston",se traduce,,波士顿美术博物馆,,,波士頓美術博物館,,
Lieber Collection,se traduce,,尼博集合,,,尼博集合,,
tenths,,NOUN,十分之,,,十分之,,
Mus&eacute;e du Louvre,se traduce,,卢浮宫,,,盧浮宮,,
San Diego Museum of Art,se traduce,,圣地牙哥艺术博物馆,,,聖地牙哥藝術博物館,,
intaglio,,,凹版,,,凹版,,
Mus&eacute;e Marmottan Monet,se traduce,,博物馆玛莫内,,,博物館瑪莫内,,
Marmottan Monet,,,玛莫内,,,瑪莫内,,
Tate Britain,,,泰特英国美术馆,,,泰特英國美術館,,
National Portrait Gallery,,,国家肖像画廊,,,國家肖像畫廊,,
circle,,,圆,,,圓,,
Location,,,位置,,,位置,,
Quadrant,,,象限,,,象限,,
National Palace Museum,"It is a museum in Taipei, Taiwan.",,故宫博物院,,,故宮博物院,,
hanging scroll,,,挂轴,,,掛軸,,
Google Art Project,,,谷歌艺术专案,,,谷歌藝術專案,,
Metropolitan Museum of Art&#39;s Heilbrunn Timeline of Art History,,,大都会艺术博物馆 &#39; s 海布时间表的艺术史,,,大都會藝術博物館 &#39; s 海布時間表的藝術史,,
Metropolitan Museum of Art's Heilbrunn Timeline of Art History,,,大都会艺术博物馆的海布时间表的艺术史,,,大都會藝術博物館的海布時間表的藝術史,,
c.,,,c.,,,c.,,
Metropolitan Museum of Art,,,大都会艺术博物馆,,,大都會藝術博物館,,
Tropenmuseum,,,托尔本博物馆,,,托爾本博物館,,
underglaze,,,釉下彩,,,釉下彩,,
The Trustees of the British Museum,.,,大英博物馆的受託人,,,大英博物館的受託人,,
Brooklyn Museum,,,布鲁克林博物馆,,,布魯克林博物館,,
leaderboard,топ-листа,,排行榜,,,排行榜,,
woodcut,,,版画,,,版畫,,
Computer science,,,电脑科学,,,電腦科學,,
Mediterranean Sea,con minúscula,,地中海,,,地中海,,
Ancient Near East,,,古代近东,,,古代近東,,
The Morgan Library and Museum,se traduce,,摩根图书馆和博物馆,,,摩根圖書館和博物館,,
Middle Eastern,,,中东,,,中東,,
Middle East,"El Libro de estilo de El País: Rechaza «Oriente Medio» y define «Oriente Próximo» como «el área geográfica que incluye Arabia Saudí, Bahréin, Chipre, Egipto, Emiratos Árabes Unidos, Irak, Irán, Israel, Jordania, Kuwait, Líbano, Libia, Omán, Qatar, Siria, Sudán y Yemen».",,中东,,,中東,,
shaded in,.,,,,,,,
Cleveland Museum of Art,,,克利夫兰艺术博物馆,,,克利夫蘭藝術博物館,,
Albert and Victoria Museum,,,亚伯特和维多利亚博物馆,,,亞伯特和維多利亞博物館,,
Victoria and Albert Museum,,,维多利亚和阿尔伯特博物馆,,,維多利亞和阿爾伯特博物館,,
students,,NOUN,,,,,,
Los Angeles County Museum of Art,,,洛杉矶县艺术博物馆,,,洛杉磯縣藝術博物館,,
in the ones place,,,在那些地方,,,在那些地方,,
in the tens place,an der Zehnerstelle,,,,,,,
fewest,.,,最少,,,最少,,
lengths,,,长度,,,長度,,
New Kingdom,,,,,,,,
Old Kingdom,,,古王国,,,古王國,,
Middle Kingdom,,,,,,,,
unit circle,,,圆的单位,,,圓的單位,,
expressions,,,,,,,,
Dogfood,,,狗食,,,狗食,,
Badges,Awards for completing topic challenges.,,徽章,,,徽章,,
badge,,,徽章,,,徽章,,
Cookie Fairy,,,饼干仙女,,,餅乾仙女,,
Count,,,算,,,算,,
leaderboards,,,排行榜,,,排行榜,,
The Walters Art Museum,,,沃尔特斯艺术博物馆,,,沃爾特斯藝術博物館,,
Spherical Hanging Ornamen,,,挂着球型的园林,,,掛著球型的園林,,
contest,,,比赛,,,比賽,,
descriptive statistics,,,叙述统计,,,敘述統計,,
random variables,,,随机变数,,,隨機變數,,
probability distribution,,,机率分佈,,,機率分佈,,
regression,,,迴归,,,迴歸,,
inferential statistics,,,推论统计,,,推論統計,,
matrices,,,矩阵,,,矩陣,,
linear algebra,,,线性代数,,,線性代數,,
vector,,,向量,,,向量,,
vector space,,,向量空间,,,向量空間,,
polar form,,,极座标形式,,,極座標形式,,
linear equations,,,,,,,,
Spherical Hanging Ornament,,,挂着球型的园林,,,掛著球型的園林,,
Suleymaniye,,,苏莱曼,,,蘇萊曼,,
Isfahan,,,伊斯法罕,,,伊斯法罕,,
Selimiye,,,塞利米耶,,,塞利米耶,,
Saljuq,,,沙橘克,,,沙橘克,,
instantaneous rate of change,(Calculus) The ratio of the instantaneous change in the dependent variable to that of the independent variable (https://en.wikipedia.org/wiki/Derivative),,暂态速率的变化,,,暫態速率的變化,,
coaches,,,,,,,,
iwan,,,伊万,,,伊萬,,
qibla,,,朝向风,,,朝向風,,
Qazvin,,,加兹温,,,加茲溫,,
quibla,,,枯伊布拉,,,枯伊布拉,,
Maqsura,,,马克苏拉,,,馬克蘇拉,,
mean absolute deviation,.,,平均绝对偏差,,,平均絕對偏差,,
bar chart,,,长条图,,,長條圖,,
scatterplot,,,二维点图,,,二維點圖,,
Imperial War Museums,,,帝国战争博物馆,,,帝國戰爭博物館,,
pictograph,,,表意字元,,,表意字元,,
seedling,Name,,苗,,,苗,,
seed,Name,,种子,,,種子,,
Aqualine,Name,,水龙,,,水龍,,
sapling,Name,,幼树 or 树苗,,,幼樹 or 樹苗,,
Marcimus,Name,,玛赛摩丝,,,瑪賽摩絲,,
Duskpin,Name,,达斯平,,,達斯平,,
quarts,,,四分之三,,,四分之三,,
like terms,,,同术语,,,同術語,,
dot plots,,,点图,,,點圖,,
line plot,,,线图,,,線圖,,
is greater than,,,大于,,,大於,,
Minneapolis Museum of Art,,,明尼阿波利斯艺术博物馆,,,明尼阿波利斯藝術博物館,,
eraser,,,橡皮擦,,,橡皮擦,,
Gyeongju National Museum,,,庆州国家博物馆,,,慶州國家博物館,,
Shia,,,夏,,,夏,,
unit cube,,,立方单位,,,立方單位,,
Picture graph,,,图表,,,圖表,,
bar graphs,,,横条图,,,橫條圖,,
Repeating decimals,,,重复的小数点,,,重複的小數點,,
Put-Call Parity,,,,,,,,
arbitrage,,,套利,,,套利,,
Straddle,,,跨越,,,跨越,,
income statement,,,损益表,,,損益表,,
revenue,,,收入,,,收入,,
gross profit,,,毛利,,,毛利,,
Dynasty,,,朝,,,朝,,
heads,,,,,,,,
tails,,,,,,,,
Four Noble Truths,,,四圣谛,,,四聖諦,,
stupa,"estupa, a Buddhist building",,舍利塔,,,舍利塔,,
chaityas,,,行,,,行,,
chaitya,,,宰蒂亚,,,宰蒂亞,,
shape,,NOUN,形状,,,形狀,,
Shapes,,,,,,,,
Net Income,,,净收益,,,淨收益,,
operating profit,,,营业利润,,,營業利潤,,
ROA,,,居留权,,,居留權,,
ROE,Return on Equity,,净资产收益率,,,淨資產收益率,,
EPS,Earnings per share,,EPS,,,EPS,,
Earnings,,,收入,,,收入,,
balance sheet,,,资产负债表,,,資產負債表,,
earnings per share,,,每股收益,,,每股收益,,
National Museum of Anthropology,,,国家人类学博物馆,,,國家人類學博物館,,
P/E,Price-to-earnings,,P/E,,,P/E,,
price-to-earnings ratio,The Price/Earnings Ratio or P/E ratio or PER is a ratio used to value a company. (https://en.wikipedia.org/wiki/Price%E2%80%93earnings_ratio),,价格收益比率,,,價格收益比率,,
return on assets,,,资产回报率,,,資產回報率,,
Depreciation,,,,,,,,
capital asset,,,资本资产,,,資本資產,,
Amortization,,,,,,,,
asset,,,资产,,,資產,,
EBITDA,"Earnings before interest, taxes, depreciation, and amortization[edit]",,,,,,,
assets,,,资产,,,資產,,
liabilities,,,债务,,,債務,,
Home equity loan,,,房屋净值贷款,,,房屋淨值貸款,,
equity,,,权益,,,權益,,
Cash,,,现金,,,現金,,
Accounts Receivable,,,应收账款,,,應收賬款,,
Deferred Revenue,,,递延的收入,,,遞延的收入,,
Total Equity,,,总股本,,,總股本,,
Expenses,,,费用,,,費用,,
renting,,,租,,,租,,
Cape,,,海角,,,海角,,
Wizard,,,魔法师,,,魔法師,,
cash flow,,,现金流量,,,現金流量,,
accrual accounting,,,权责发生制会计,,,權責發生制會計,,
cash accounting,,,现金会计,,,現金會計,,
accounts payable,,,应付帐款,,,應付帳款,,
cash flow statement,,,现金流量表,,,現金流量表,,
California Academy of Sciences,,,,,,,,
quasar,,,类星体,,,類星體,,
shorting,,,短路,,,短路,,
Mortgage,,,按揭,,,按揭,,
Mortgage loan,,,按揭贷款,,,按揭貸款,,
Interest rate,,,利率,,,利率,,
Short sale,,,卖空,,,賣空,,
Adjustable rate mortgage,,,可调利率抵押贷款,,,可調利率抵押貸款,,
Maiolica,,,陶器,,,陶器,,
The Avery Brundage Collection,,,艾弗里·布伦戴奇收藏,,,艾弗里·布倫戴奇收藏,,
College Board,Non-profit dedicated to make the SAT test among other things.,,College Board,,,College Board,,
SAT,Kind of test usually not translated.,,,,,,,
Bandolier Bag,cross-body bag,,弹夹袋,,,彈夾袋,,
Indian Removal Act,Andrew Jackson negotiate with Indian tribes in the Southern United States for their removal to federal territory west of the Mississippi River in exchange for their ancestral homelands.,,印第安人迁移行为,,,印第安人遷移行為,,
National Museum of the American Indian,Museum in NY,,国立美洲印第安人博物馆,,,國立美洲印第安人博物館,,
Nebraska State Historical Society,society in Nebraska,,内布拉斯加州歷史协会,,,內布拉斯加州歷史協會,,
Eastern Woodlands,cultural area of native americans,,东部林地,,,東部林地,,
First Nations,Aboriginal peoples in Canada who are neither Inuit nor Métis,,第一民族,,,第一民族,,
Great Lakes,group of 5 lakes situated in the frontier between USA and Canada,,大湖区,,,大湖區,,
Prairie,"Prairies extended through Alberta, Saskatchewan y Manitoba.",,草原,,,草原,,
beads,"small, decorative object",,珠,,,珠,,
Hybrid ARM,,,,,,,,
Balloon payment mortgage,,,,,,,,
corporate debt,,,公司债,,,公司債,,
supplementary angles,,,补充,,,補充,,
Bonds,,,,,,,,
Yield curve,,,收益率曲线,,,收益率曲線,,
mirror image,,,镜像,,,鏡像,,
sloping,,,倾斜,,,傾斜,,
triangular,,,三角形,,,三角形,,
square,,,,,,,,
pentagon,,,五角形,,,五角形,,
triangle,,NOUN,三角形,,,三角形,,
survey,,,调查,,,調查,,
random sample,,,随机样本,,,隨機樣本,,
The World of Math,,,数学的世界,,,數學的世界,,
Smithsonian Institution,,,史密森学会,,,史密森學會,,
Graff,name,,格雷夫,,,格雷夫,,
Rafaela,name,,拉斐,,,拉斐,,
Parker,name,,派克,,,派克,,
Luke,name,,,,,,,
Mustafa,name,,穆斯塔法,,,穆斯塔法,,
Mohamed,name,,穆罕默德,,,穆罕默德,,
Mario,name,,马里奥,,,馬里奧,,
Vernon,name,,维农,,,維農,,
Steve,name,,,,,,,
Khusraw Discovers Shirin Bathing,,,窟斯拉发现西林在沐浴,,,窟斯拉發現西林在沐浴,,
Khusraw,,,窟斯拉,,,窟斯拉,,
The Hermitage,,,艾尔米塔什博物馆,,,艾爾米塔什博物館,,
turning,,,翻,,,翻,,
clay,,,粘土,,,粘土,,
vase,,,花瓶,,,花瓶,,
scroll,Some sort of document or painting made of paper.,,滚动,,,滾動,,
wash,,,洗,,,洗,,
silversmith,,,银匠,,,銀匠,,
outer shell,,,外壳,,,外殼,,
salt print,,,盐列印,,,鹽列印,,
glass collodion negative,,,玻璃胶棉负,,,玻璃膠棉負,,
gun cotton,"Nitrocellulose (also known as cellulose nitrate, flash paper, flash cotton, guncotton, and flash string) is a highly flammable compound formed by nitrating cellulose through exposure to nitric acid or another powerful nitrating agent. 
 When it was fixed to a glass plate, it allowed for the creation of a photo negative.",,枪棉,,,槍棉,,
beaker,,,烧杯,,,燒杯,,
developer,,,开发人员,,,開發人員,,
integer,,NOUN,整数,,,整數,,
AMT,Alternative Minimum Tax,,AMT,,,AMT,,
Estate tax,,,物业税,,,物業稅,,
bindings,,,绑定,,,綁定,,
Egypt,country,,埃及,,,埃及,,
Qin Shihuang,Name of an Emperor,,秦始皇,,,秦始皇,,
Terracotta Warriors and Horses Museum,"This is not the real name of the museum, the Museum of Asian Art describes it like this.",,兵马俑和马博物馆,,,兵馬俑和馬博物館,,
American Revolutionary War,,,美国革命战争,,,美國革命戰爭,,
Emerald Isle,,,翡翠岛,,,翡翠島,,
Philadephia,,,费城,,,費城,,
frequency tables,,,频率表,,,頻率表,,
dataset,,,资料集,,,資料集,,
Additional resources,,,更多的资源,,,更多的資源,,
The National Gallery,,,国家美术馆,,,國家美術館,,
fasces,"arquitectura, plural y singular",,法西斯,,,法西斯,,
State Capitol,,,州议会大厦,,,州議會大廈,,
Doryphoros,,,Doryphoros,,,Doryphoros,,
Polykleitos,,,波,,,波,,
National Museum of American History,,,国立美国歷史博物馆,,,國立美國歷史博物館,,
Heilbrunn Timeline of Art History,cronología Heilbrunn de historia del arte del Museo Metropolitano de Arte de Nueva York,,海布时间表的艺术史,,,海布時間表的藝術史,,
Museum f&uuml;r V&ouml;lkerkunde,Museum,,博物馆 f&uuml;r V&ouml;lkerkunde,,,博物館 f&uuml;r V&ouml;lkerkunde,,
Museum für Völkerkunde Wein,Museum,,名族学博物馆,,,名族學博物館,,
Acad&eacute;mie Royale de Peinture et de Sculpture,,,法国皇家绘画与雕刻学院,,,法國皇家繪畫與雕刻學院,,
Mogao,No se traduce,,莫高窟,,,莫高窟,,
Rosetta Stone,,,罗塞塔石,,,羅塞塔石,,
Tomb-chapel of Nebamun,,,拿布幔的墓教堂,,,拿布幔的墓教堂,,
Second Jewish Revolt,,,第二次犹太起义,,,第二次猶太起義,,
Olympic games,,,奥林匹克运动会,,,奧林匹克運動會,,
Sophilos,,,Sophilos,,,Sophilos,,
Parthenon,,,帕台农神庙,,,帕台農神廟,,
Battle of Cascina,,,卡希纳之战,,,卡希納之戰,,
Last Judgment,,,最后的审判,,,最後的審判,,
Holy Thorn Reliquary of Jean,,,吉恩的神圣索恩圣骨盒,,,吉恩的神聖索恩聖骨盒,,
Standard of Ur,,,呜尔的标准,,,嗚爾的標準,,
Hajj,No se traduce,,朝觐,,,朝覲,,
Moai,,,石像,,,石像,,
Easter Island,,,復活节岛,,,復活節島,,
Inka,,,印卡,,,印卡,,
ushnu,,,,,,,,
Aksum,,,阿克森姆,,,阿克森姆,,
Afghanistan,,,阿富汗,,,阿富汗,,
Shah 'Abbas,,,阿巴斯国王王,,,阿巴斯國王王,,
British Museum,,,英国博物馆,,,英國博物館,,
Samurai,,,武士,,,武士,,
B.C.E.,,,西元前,,,西元前,,
C.E.,,,西元,,,西元,,
Nile Valley,,,尼罗河谷,,,尼羅河谷,,
Roman empire,,,罗马帝国的衰落,,,羅馬帝國的衰落,,
Ancient Egypt,,,古埃及,,,古埃及,,
Sudan,,,苏丹,,,蘇丹,,
Palmyra,,,巴尔米拉,,,巴爾米拉,,
Euphrates,,,幼发拉底,,,幼發拉底,,
Iraq,,,伊拉克,,,伊拉克,,
equation,,,方程,,,方程,,
Cuzco,city,,库斯科,,,庫斯科,,
photo,,,照片,,,照片,,
Photo,,,照片,,,照片,,
slope field,in mathematics,,斜率图,,,斜率圖,,
Neolithic period,,,新石器时代,,,新石器時代,,
National Museum of Afghanistan,,,阿富汗国家博物馆,,,阿富汗國家博物館,,
Alexander the Great,,,亚歷山大大帝,,,亞歷山大大帝,,
schist,,,片岩,,,片岩,,
Bats,,,蝙蝠,,,蝙蝠,,
Flew,,,飞,,,飛,,
Cave,,,洞穴,,,洞穴,,
Shah Abbas,,,阿巴斯国王王,,,阿巴斯國王王,,
West Africa,revisar,,西非,,,西非,,
capital structure,,,资本结构,,,資本結構,,
BC,,,西元前,,,西元前,,
Daidoumenos,,,迪多曼娜斯,,,迪多曼娜斯,,
book value,,,书的价值,,,書的價值,,
CPI,Consumer Price Index (in finance),,消费物价指数,,,消費物價指數,,
Holy Thorn Reliquary,,,圣索恩圣物,,,聖索恩聖物,,
Cyrus Cylinder,,,居鲁士圆柱,,,居魯士圓柱,,
Depletion gilding,,,消耗烫金,,,消耗燙金,,
Akkadian,,,阿卡德人,,,阿卡德人,,
Benin,African empire,,贝南,,,貝南,,
glycolysis,,,醣类分解,,,醣類分解,,
Erechtheion,,,神殿,,,神殿,,
Dipylon,Ancient graveyard and famous entrance door to Athens.,,戴皮罗恩,,,戴皮羅恩,,
"National Archaeological Museum, Athens",,,在雅典国家考古博物馆,,,在雅典國家考古博物館,,
Myron,,,迈伦,,,邁倫,,
Discobolus,,,群像,,,群像,,
"Museo Archaeologico Nazionale, Naples",,,那不勒斯博物馆 国家考古队,,,那不勒斯博物館 國家考古隊,,
Nike,diosa griega de la Victoria,,耐克公司,,,耐克公司,,
Kouros,,,青年男子雕像,,,青年男子雕像,,
overglaze,,,釉,,,釉,,
Lady of Auxerre,,,那位女士的欧塞尔,,,那位女士的歐塞爾,,
Charioteer of Delphi,,,特尔斐的战车御者,,,特爾斐的戰車禦者,,
Delphi Archaeological Museum,,,特尔斐考古博物馆,,,特爾斐考古博物館,,
"Acropolis Museum, Athens",,,雅典卫城博物馆,,,雅典衛城博物館,,
B.C.,,,西元前,,,西元前,,
Exekias,pintor griego,,埃克塞基亚斯,,,埃克塞基亞斯,,
Dionysos Kylix,,,狄厄尼索斯 凯利可思,,,狄厄尼索斯 凱利可思,,
Barberini Faun,,,巴贝里尼的农牧之神,,,巴貝裡尼的農牧之神,,
Dying Gaul,,,垂死的高卢,,,垂死的高盧,,
Laocoön and his sons,,,拉奥孔和他的儿子,,,拉奧孔和他的兒子,,
Alexander Sarcophagus,,,亚歷山大石棺,,,亞歷山大石棺,,
İstanbul Archaeological Museums,"a group of three archeological museums located in the Eminönü district of Istanbul, Turkey",,伊斯坦布尔考古博物馆,,,伊斯坦布爾考古博物館,,
Vatican Museums,,,梵蒂冈博物馆,,,梵蒂岡博物館,,
BMR,Tasa metabólica basal,,BMR,,,BMR,,
leather-hard,State of the porcelain during its making process.,,皮革硬,,,皮革硬,,
"Archaeological Museum, Naples",,,考古博物馆那不勒斯,,,考古博物館那不勒斯,,
American Museum of Natural History,,,美国自然史博物馆,,,美國自然史博物館,,
Apollodorus of Damascus,,,阿波罗多罗斯的大马士革,,,阿波羅多羅斯的大馬士革,,
Alexander,revisar,,亚歷山大,,,亞歷山大,,
Boxer at Rest,"Sculpture by Apollonius, c. 100 BCE",,坐着的拳击手,,,坐著的拳擊手,,
Museo Nazionale Romano,,,罗马国家博物馆,,,羅馬國家博物館,,
Peplos Kore,escultura,,剥脱是枝,,,剝脫是枝,,
Ancient Near Eastern,,,古代近东,,,古代近東,,
stylus,,,手写笔,,,手寫筆,,
Akhenaten,,,阿赫那吞,,,阿赫那吞,,
ankhs,,,安可思,,,安可思,,
kouroi,,,可屋罗伊,,,可屋羅伊,,
hundreds,,NOUN,百,,,百,,
word problems,,,应用题,,,應用題,,
Ara Pacis,,,和平祭坛博物馆,,,和平祭壇博物館,,
Boijmans Museum,,,伊博物馆,,,伊博物館,,
Virginia Museum of Fine Arts,,,弗吉尼阿美术博物馆,,,弗吉尼阿美術博物館,,
Western Mediterranean,,,西边地中海,,,西邊地中海,,
Royal Museum for Central Africa,museum,,中部非洲的皇家博物馆,,,中部非洲的皇家博物館,,
Toledo Museum of Art,,,托莱多艺术博物馆,,,托萊多藝術博物館,,
Paris,It could be the capital of France or the Trojan prince who kidnapped Helen.,,巴黎,,,巴黎,,
Norton Simon Museum,No se traduce,,诺顿 西门 博物馆,,,諾頓 西門 博物館,,
Satire on Tulip Mania,,,狂热郁金香的讽刺,,,狂熱鬱金香的諷刺,,
Church of Ste-Geneviève,,,Ste-Geneviève 教会,,,Ste-Geneviève 教會,,
Basilica of Notre-Dame-des-Victoires,París,,巴黎圣母院-圣母院--胜利广场大教堂,,,巴黎聖母院-聖母院--勝利廣場大教堂,,
Exploration Questions,.,,探索问题,,,探索問題,,
cup,,,杯,,,杯,,
cups,,,杯子,,,杯子,,
Beijing,,,北京,,,北京,,
Longmen caves,,,龙门石窟,,,龍門石窟,,
Interest rate swap,,,利率互换,,,利率互換,,
Hedge fund,,,避险基金,,,避險基金,,
Community College of Vermont,.,,佛蒙特州社区学院,,,佛蒙特州社區學院,,
Mutual fund,,,共同基金,,,共同基金,,
Democratic Republic of the Congo,country,,刚果民主主义共和国,,,剛果民主主義共和國,,
tenth,,,十分之一,,,十分之一,,
oneths,Arcaic form of 'first',,噢恩斯,,,噢恩斯,,
Medicea-Laurenziana Library,,,Medicea-Laurenziana 图书馆,,,Medicea-Laurenziana 圖書館,,
blended learning,"learning that involves both a classroom experience and online, independent work",,混合式学习,,,混合式學習,,
complementary,,,互补,,,互補,,
Florence and Herbert Irving South Asian Galleries,,,弗洛伦斯和赫伯特 · 欧文南亚洲画廊,,,弗洛倫斯和赫伯特 · 歐文南亞洲畫廊,,
Central Binyang Cave,,,中央宾阳洞,,,中央賓陽洞,,
bodhisattva,,,菩萨,,,菩薩,,
Salon,"The Salon (French: Salon), or rarely Paris Salon (French: Salon de Paris), beginning in 1725 was the official art exhibition of the Académie des Beaux-Arts in Paris. Between 1748 and 1890 it was the greatest annual or biennial art event in the Western world.",,沙龙,,,沙龍,,
Royal Academy,"The Royal Academy of Arts (RA, traditionally written as R.A.) is an art institution based in Burlington House on Piccadilly in London. It has a unique position as an independent, privately funded institution led by eminent artists and architects; its purpose is to promote the creation, enjoyment and appreciation of the visual arts through exhibitions, education and debate.",,皇家艺术学院,,,皇家藝術學院,,
Democratic Republic of Congo,country,,刚果民主共和国,,,剛果民主共和國,,
hundredths,,,百分之一,,,百分之一,,
decimals,,,小数点,,,小數點,,
grid,,,格子,,,格子,,
Beijing Palace Museum,,,北京故宫博物院,,,北京故宮博物院,,
Forward contract,,,远期合约,,,遠期合約,,
Black seas,,,黑海,,,黑海,,
Istanbul,,,伊斯坦堡,,,伊斯坦堡,,
BCE,,,西元前,,,西元前,,
ice age,,,冰河世纪,,,冰河世紀,,
Fertile Crescent,,,新月沃地,,,新月沃地,,
Cyrus the Great,Cyrus the Great (559-530 B.C.E.) was a major Persian king.,,居鲁士大帝。,,,居魯士大帝。,,
Avalokiteshvara,,,观世音菩萨,,,觀世音菩薩,,
5 Princess Gardens,"A former address in London of Lady Clementina Hawarden, a photography pioneer.",,五个公主花园,,,五個公主花園,,
Paris Boulevard,"The French name of this daguerrotype is: Boulevard du Temple, Paris. It is one of the earliest daguerrotypes.",,巴黎大道,,,巴黎大道,,
wet collodion process,,,湿火棉胶的过程,,,濕火棉膠的過程,,
stele,,,碑,,,碑,,
Le d&eacute;jeuner sur l&#39;herbe,"Edouard Manet, Le déjeuner sur l'herbe",,,,,,,
Pre-Raphaelites,,,拉斐尔,,,拉斐爾,,
Daguerreotypes,The daguerreotype process was the first publicly announced photographic process and for nearly twenty years was the one most commonly used. It was invented by Louis Daguerre and introduced in 1839.,,,,,,,
Getty Museum,"The J. Paul Getty Museum, commonly referred to as the Getty, is an art museum in California.",,盖蒂博物馆,,,蓋蒂博物館,,
FERPA,Family Educational Rights and Privacy Act,,,,,,,
Southern Binyang,,,南部宾阳,,,南部賓陽,,
Praxiteles,,,西特利斯,,,西特利斯,,
Mus&eacute;e du Petit,,,佩蒂特博物馆,,,佩蒂特博物館,,
Musee d&#39;Orsay,,,奥赛博物馆,,,奧賽博物館,,
Arhats,Worthy monks who have advanced very far in their quest of Enlightenment in the Buddhist tradition.,,罗汉,,,羅漢,,
Nebuchadnezzar,rey babilónico,,尼布甲尼,,,尼布甲尼,,
brass,"Brass is an alloy made of copper and zinc. It is different from bronze, which is principally an alloy of copper and tin.",,铜管乐器,,,銅管樂器,,
Edo,"Japanese town, today is Tokyo.",,江户,,,江戶,,
Silk Road,,,丝路,,,絲路,,
Babylonian,idioma,,巴比伦人,,,巴比倫人,,
Odin,dios nórdico,,奥丁,,,奧丁,,
Vote riding,"creating an unrelated program as the spin-off of a popular program, to get more viewers and votes",,投票骑马,,,投票騎馬,,
Cosimo I de Medici,,,柯西莫我德美第奇家族,,,柯西莫我德美第奇家族,,
Cosimo I,,,科西莫一世,,,科西莫一世,,
Museo Archeologico Nazionale in Florence,,,在佛罗伦斯博物馆考古国家队,,,在佛羅倫斯博物館考古國家隊,,
avant garde,,,前卫,,,前衛,,
Tuileries Gardens,A famous garden in Paris. Le Palais des Tuileries used to stand there but it was burnt to the ground in 1871.,,杜乐丽花园,,,杜樂麗花園,,
Peredvizhniki,"Peredvizhniki, often called The Wanderers or The Itinerants in English, were a group of Russian realist artists who in protest at academic restrictions formed an artists' cooperative; it evolved into the Society for Travelling Art Exhibitions in 1870.",,巡迴展览画派,,,巡迴展覽畫派,,
Japonisme,"Japonisme is the influence of Japanese art, fashion and aesthetics on Western culture. The term is used particularly to refer to the influence on Impressionism.",,日本风,,,日本風,,
impasto,"Impasto is a technique used in painting, where paint is laid on an area of the surface (or the entire canvas) very thickly.
 It also may refer to an Etruscan pottery technique.",,稠度,,,稠度,,
Rouen,French city in Normandy.,,卢昂,,,盧昂,,
